                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0123,                 3.8494,                   1.26,                0.56995,                0.20648,                0.16182,                0.09933,                 1.9361,                 2.8443,                 1.0841,              0.0033094,              0.0033094,              0.0033094
                      1,                 2.0567,                 2.2066,                 1.1301,                0.47922,                0.37154,                0.32622,                0.19051,                 1.8358,                 1.5411,                 1.0886,              0.0066295,              0.0066295,              0.0066295
                      2,                 2.0086,                  1.468,                 1.1021,                0.49243,                0.41485,                0.40041,                0.23403,                 1.8829,                 1.3748,                 1.0655,              0.0099365,              0.0099365,              0.0099365
                      3,                 1.9551,                 1.2909,                 1.0894,                 0.4208,                0.45763,                0.42942,                0.25252,                 1.8628,                 1.2769,                 1.0669,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.9375,                 1.2253,                  1.075,                0.66717,                0.36823,                0.38974,                 0.2427,                 1.7899,                 1.3542,                 1.0261,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.8482,                 1.1554,                 1.0575,                0.46615,                0.47912,                 0.4687,                0.29426,                 1.8254,                 1.3212,                 1.0241,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8589,                 1.1381,                  1.054,                0.63486,                0.45149,                0.50624,                0.31493,                 1.7568,                 1.1669,                 1.0302,               0.009901,               0.009901,               0.009901
                      7,                 1.8159,                 1.1189,                 1.0525,                0.38756,                 0.4356,                0.40462,                0.26856,                 1.9289,                 1.5597,                 1.0485,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.8244,                 1.1026,                 1.0399,                0.55983,                0.50167,                0.51328,                0.33647,                  1.672,                 1.0046,                 1.0025,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.8044,                 1.0911,                 1.0429,                0.65657,                0.46521,                0.51031,                0.33326,                 1.6947,                 1.0623,                 1.0019,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.801,                 1.0566,                 1.0382,                0.61603,                0.51042,                0.52558,                0.33909,                 1.7134,                 1.0086,                0.99289,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7835,                 1.0454,                 1.0336,                0.53527,                 0.5088,                0.52104,                0.32726,                 1.7539,                 1.0798,                 1.0115,               0.009802,               0.009802,               0.009802
                     12,                  1.759,                 1.0386,                 1.0293,                0.46769,                0.42062,                0.47481,                0.31362,                 1.7137,                 1.3269,                 1.0057,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7644,                 1.0322,                 1.0247,                0.88588,                0.48749,                0.53796,                0.35134,                 1.6681,                0.96762,                0.98295,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7049,                0.99553,                 1.0204,                0.82288,                0.49323,                0.51747,                 0.3234,                 1.6789,                 1.1153,                  1.002,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.702,                0.99597,                 1.0162,                0.67596,                0.50821,                 0.5386,                0.35201,                 1.6496,                0.95165,                0.97421,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.7058,                0.98753,                  1.017,                0.62389,                0.52556,                 0.5438,                0.35783,                 1.6084,                0.90125,                0.98182,               0.009703,               0.009703,               0.009703
                     17,                 1.7194,                 0.9867,                 1.0224,                0.61445,                0.49276,                0.53537,                0.34375,                 1.6693,                0.97987,                0.98355,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6462,                0.96589,                 1.0083,                 0.6304,                0.53152,                0.54622,                0.35539,                  1.636,                0.88367,                0.96729,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.7086,                0.97631,                 1.0126,                0.85342,                0.50956,                0.54618,                0.36276,                 1.5947,                  0.917,                0.97278,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6541,                0.94589,                 1.0109,                0.90604,                0.50692,                0.55604,                0.36009,                 1.6022,                0.87204,                0.97218,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6716,                0.95355,                 1.0101,                0.70525,                0.53211,                0.55672,                0.36846,                 1.5925,                0.87106,                0.97266,               0.009604,               0.009604,               0.009604
                     22,                 1.6338,                0.94727,                 1.0079,                0.82031,                0.51924,                0.54438,                0.35378,                 1.5982,                0.94593,                0.96425,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6243,                0.92018,                 1.0037,                 0.6713,                0.50191,                0.54097,                0.35642,                  1.592,                0.91945,                0.97335,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.6559,                0.93248,                0.99948,                0.65446,                0.52782,                0.54775,                0.36399,                 1.5753,                0.86165,                0.97142,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.6355,                0.91848,                  1.008,                 0.6379,                0.53932,                0.55316,                0.35999,                 1.6208,                0.89958,                 0.9698,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.6384,                0.93733,                 1.0082,                0.62578,                0.51646,                0.53989,                0.35019,                 1.6183,                0.95605,                0.97935,               0.009505,               0.009505,               0.009505
                     27,                 1.6111,                0.89899,                 1.0032,                0.68444,                0.52224,                0.55507,                 0.3667,                 1.5955,                0.90502,                0.97537,              0.0094852,              0.0094852,              0.0094852
